,attack,model,dataset,balance,best_eps
288,TIFGSM,alexnet,bing,20_80,0.08
289,TIFGSM,alexnet,bing,30_70,0.15
290,TIFGSM,alexnet,bing,40_60,0.1
291,TIFGSM,alexnet,bing,50_50,0.28
292,TIFGSM,resnet,bing,20_80,0.09
293,TIFGSM,resnet,bing,30_70,0.12
294,TIFGSM,resnet,bing,40_60,0.1
295,TIFGSM,resnet,bing,50_50,0.18
296,TIFGSM,vgg,bing,20_80,0.09
297,TIFGSM,vgg,bing,30_70,0.12
298,TIFGSM,vgg,bing,40_60,0.09
299,TIFGSM,vgg,bing,50_50,0.18
300,TIFGSM,alexnet,google,20_80,0.11
301,TIFGSM,alexnet,google,30_70,0.13
302,TIFGSM,alexnet,google,40_60,0.12
303,TIFGSM,alexnet,google,50_50,0.2
304,TIFGSM,resnet,google,20_80,0.19
305,TIFGSM,resnet,google,30_70,0.08
306,TIFGSM,resnet,google,40_60,0.11
307,TIFGSM,resnet,google,50_50,0.25
308,TIFGSM,vgg,google,20_80,0.09
309,TIFGSM,vgg,google,30_70,0.24
310,TIFGSM,vgg,google,40_60,0.11
311,TIFGSM,vgg,google,50_50,0.15
